date,top buy,top sell,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us,coinmarketcap.com
2021-06-12T08:57:29.855Z,49544.05,50681.56,49237.55,49161.61,49393.04,49431
2021-06-12T08:57:35.580Z,49544.05,50681.56,49237.55,49161.61,49393.58,49431
2021-06-12T08:57:41.544Z,49544.05,50681.56,49237.55,49161.61,49393.74,49431
2021-06-12T08:57:47.262Z,49544.05,50681.56,49237.55,49161.61,49393.79,49431
2021-06-12T08:57:52.983Z,49544.05,50681.56,49237.55,49161.61,49393.79,49431
2021-06-12T08:57:58.924Z,49544.05,50681.56,49237.55,49161.61,49393.79,49431
2021-06-12T08:58:04.900Z,49544.05,50714.17,49237.55,49161.61,49394.31,49431
2021-06-12T08:58:10.705Z,49544.05,50714.17,49237.55,49161.61,49396.36,49431
2021-06-12T08:58:16.691Z,49544.05,50714.17,49237.55,49161.61,49396.67,49431
2021-06-12T08:58:22.652Z,49544.05,50714.17,49237.55,49161.61,49397,49431
2021-06-12T08:58:28.463Z,49544.05,50714.17,49237.55,49161.61,49397.09,49412.09
2021-06-12T08:58:34.280Z,49544.05,50714.17,49237.55,49161.61,49397.89,49412.09
2021-06-12T08:58:40.244Z,49544.05,50714.17,49237.55,49161.61,49397.89,49412.09
2021-06-12T08:58:46.186Z,49544.05,50714.17,49237.55,49161.61,49398.08,49412.09
2021-06-12T08:58:51.970Z,49544.05,50714.17,49237.55,49161.61,49398.08,49412.09
2021-06-12T08:58:57.694Z,49544.05,50714.17,49237.55,49161.61,49398.08,49412.09
2021-06-12T08:59:03.423Z,49544.05,50714.17,49237.55,49161.61,49406.29,49412.09
2021-06-12T08:59:09.204Z,49544.05,50714.17,49237.55,49161.61,49408.09,49412.09
2021-06-12T08:59:15.062Z,49544.05,50721.14,49244.31,49161.61,49408.16,49412.09
2021-06-12T08:59:20.793Z,49544.05,50721.14,49244.31,49161.61,49408.16,49412.09
2021-06-12T08:59:26.647Z,49544.05,50721.14,49244.31,49161.61,49407.99,49412.09
2021-06-12T08:59:32.620Z,49544.05,50721.14,49244.31,49161.61,49407.99,49458.26
2021-06-12T08:59:38.399Z,49544.05,50721.14,49244.31,49161.61,49407.99,49458.26
2021-06-12T08:59:44.126Z,49544.05,50721.14,49244.31,49161.61,49407.99,49458.26
2021-06-12T08:59:50.303Z,49544.05,50721.14,49244.31,49164.08,49407.99,49458.26
2021-06-12T08:59:56.082Z,49544.05,50721.14,49244.31,49164.08,49406.47,49458.26
2021-06-12T09:00:01.870Z,49544.05,50721.14,49244.31,49164.08,49406.18,49458.26
2021-06-12T09:00:07.857Z,49544.05,50721.14,49244.31,49164.08,49408.61,49458.26
2021-06-12T09:00:13.595Z,49544.05,50721.14,49244.31,49164.08,49408.11,49458.26
2021-06-12T09:00:19.311Z,49544.05,50721.14,49244.31,49164.08,49408.12,49458.26
2021-06-12T09:00:25.152Z,49544.05,50721.14,49244.31,49164.08,49408.11,49458.26
2021-06-12T09:00:30.868Z,49544.05,50721.14,49244.31,49164.08,49408.11,49458.26
2021-06-12T09:00:36.588Z,49544.05,50721.14,49244.31,49164.08,49407.08,49458.26
2021-06-12T09:00:42.537Z,49544.05,50721.14,49244.31,49164.08,49407.13,49388.12
2021-06-12T09:00:48.480Z,49544.05,50721.14,49244.31,49164.08,49407.13,49388.12
2021-06-12T09:00:54.212Z,49544.05,50721.14,49244.31,49164.08,49405.24,49388.12
2021-06-12T09:00:59.955Z,49544.05,50721.14,49201.64,49164.08,49405.24,49388.12
2021-06-12T09:01:05.675Z,49544.05,50721.14,49201.64,49164.08,49405.76,49388.12
2021-06-12T09:01:11.477Z,49544.05,50721.14,49201.64,49164.08,49405.39,49388.12
2021-06-12T09:01:17.418Z,49544.05,50721.14,49201.64,49164.08,49405.14,49388.12
2021-06-12T09:01:23.224Z,49544.05,50721.14,49201.64,49164.08,49405.14,49388.12
2021-06-12T09:01:29.171Z,49544.05,50721.14,49201.64,49164.08,49404.85,49388.12
2021-06-12T09:01:34.915Z,49544.05,50721.14,49201.64,49164.08,49401.66,49388.12
2021-06-12T09:01:40.862Z,49544.05,50721.14,49201.64,49164.08,49362.79,49398.91
2021-06-12T09:01:46.824Z,49544.05,50721.14,49201.64,49164.08,49361.32,49398.91
2021-06-12T09:01:52.545Z,49544.05,50721.14,49201.64,49164.08,49359.48,49398.91
2021-06-12T09:01:58.279Z,49544.05,50721.14,49201.64,49164.08,49359.26,49398.91
2021-06-12T09:02:04.006Z,49544.05,50721.14,49201.64,49164.08,49358.73,49398.91
2021-06-12T09:02:10.058Z,49544.05,50677.19,49201.64,49023.94,49357.35,49398.91
2021-06-12T09:02:16.004Z,49544.05,50677.19,49201.64,49023.94,49275.26,49398.91
2021-06-12T09:02:21.795Z,49544.05,50677.19,49201.64,49023.94,49272.09,49398.91
2021-06-12T09:02:27.586Z,49544.05,50677.19,49201.64,49023.94,49270.99,49398.91
2021-06-12T09:02:33.317Z,49544.05,50677.19,49201.64,49023.94,49270.96,49398.91
2021-06-12T09:02:39.270Z,49544.05,50677.19,49201.64,49023.94,49268.32,49306.91
2021-06-12T09:02:45.238Z,49544.05,50677.19,49201.64,49023.94,49268.11,49306.91
2021-06-12T09:02:50.964Z,49544.05,50677.19,49201.64,49023.94,49267.97,49306.91
2021-06-12T09:02:56.691Z,49544.05,50677.19,49201.64,49023.94,49275.23,49306.91
2021-06-12T09:03:02.636Z,49544.05,50677.19,49201.64,49023.94,49280.96,49306.91
2021-06-12T09:03:08.356Z,49544.05,50677.19,49201.64,49023.94,49280.96,49306.91
2021-06-12T09:03:14.075Z,49544.05,50677.19,49201.64,49023.94,49280.82,49306.91
2021-06-12T09:04:07.407Z,49544.05,50499.62,49029.24,49023.94,49282.11,49279.7
2021-06-12T09:04:13.143Z,49544.05,50499.62,49029.24,49023.94,49282.98,49279.7
2021-06-12T09:04:18.875Z,49544.05,50499.62,49029.24,49023.94,49282.99,49279.7
2021-06-12T09:04:24.625Z,49544.05,50499.62,49029.24,49023.94,49283.8,49279.7
2021-06-12T09:04:30.644Z,49544.05,50499.62,49029.24,49023.94,49284.16,49448.23
2021-06-12T09:04:36.611Z,49544.05,50499.62,49029.24,49023.94,49284.32,49448.23
2021-06-12T09:04:44.490Z,49544.05,50499.62,49029.24,49239.2,49284.33,49448.23
2021-06-12T19:45:10.095Z,49795.23,52500.02,50306.25,50283.62,50151.23,50173.54
2021-06-12T19:45:16.049Z,49795.23,52500.02,50306.25,50283.62,50152.24,50173.54
2021-06-12T19:45:21.775Z,49795.23,52500.02,50306.25,50283.62,50152.24,50173.54
2021-06-12T19:45:27.498Z,49795.23,52500.02,50306.25,50283.62,50152.12,50173.54
2021-06-12T19:45:33.449Z,49795.23,52500.02,50306.25,50283.62,50152.12,50187.16
2021-06-12T19:45:39.214Z,49795.23,52500.02,50306.25,50283.62,50152.12,50187.16
