date,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us
2021-06-12T20:21:04.328Z,50373.72,50369.21,50367.3
2021-06-12T20:21:10.284Z,50373.72,50369.21,50367.3
2021-06-12T20:21:16.016Z,50373.72,50369.21,50367.46
2021-06-12T20:21:21.739Z,50373.72,50369.21,50367.46
2021-06-12T20:21:27.544Z,50373.72,50369.21,50367.61
2021-06-12T20:21:33.265Z,50373.72,50369.21,50367.61
2021-06-12T20:21:39.219Z,50373.72,50369.21,50367.61
2021-06-12T20:21:44.999Z,50373.72,50369.21,50367.61
2021-06-12T20:21:50.725Z,50373.72,50369.21,50367.61
2021-06-12T20:21:56.458Z,50373.72,50369.21,50367.61
2021-06-12T20:22:02.173Z,50373.72,50369.21,50367.61
2021-06-12T20:22:07.902Z,50373.72,50369.21,50367.61
2021-06-12T20:22:13.669Z,50373.72,50369.21,50367.61
2021-06-12T20:22:19.393Z,50373.72,50369.21,50367.61
2021-06-12T20:22:25.185Z,50373.72,50369.21,50367.61
2021-06-12T20:22:30.991Z,50373.72,50369.21,50377.21
2021-06-12T20:22:36.770Z,50373.72,50369.21,50379.99
2021-06-12T20:22:42.560Z,50426.07,50369.21,50379.99
2021-06-12T20:22:48.293Z,50426.07,50369.21,50384.3
2021-06-12T20:22:54.011Z,50426.07,50369.21,50400.33
2021-06-12T20:22:59.753Z,50426.07,50369.21,50400.85
2021-06-12T20:23:05.475Z,50426.07,50369.21,50400.85
2021-06-12T20:23:11.206Z,50426.07,50369.21,50400.85
2021-06-12T20:23:16.934Z,50426.07,50369.21,50401.46
2021-06-12T20:23:25.599Z,50426.07,50457.61,50401.53
2021-06-12T20:23:31.385Z,50426.07,50457.61,50402.36
2021-06-12T20:23:37.105Z,50426.07,50457.61,50402.58
2021-06-12T20:23:42.906Z,50426.07,50457.61,50402.67
2021-06-12T20:23:48.624Z,50426.07,50457.61,50402.68
2021-06-12T20:23:54.346Z,50426.07,50457.61,50402.68
2021-06-12T20:24:00.074Z,50426.07,50457.61,50405.28
2021-06-12T20:24:05.856Z,50426.07,50457.61,50405.28
2021-06-12T20:24:11.798Z,50426.07,50457.61,50405.28
2021-06-12T20:24:17.524Z,50426.07,50457.61,50405.47
2021-06-12T20:24:23.370Z,50426.07,50457.61,50405.5
2021-06-12T20:24:29.391Z,50426.07,50457.61,50411.33
2021-06-12T20:24:35.123Z,50426.07,50457.61,50411.33
2021-06-12T20:24:40.922Z,50426.07,50457.61,50411.33
2021-06-12T20:24:46.650Z,50426.07,50457.61,50417.67
2021-06-12T20:24:52.375Z,50426.07,50457.61,50418.94
2021-06-12T20:24:58.098Z,50447.86,50457.61,50418.95
2021-06-12T20:25:03.818Z,50447.86,50457.61,50418.27
2021-06-12T20:25:09.536Z,50447.86,50457.61,50419.28
2021-06-12T20:25:15.263Z,50447.86,50457.61,50424.32
2021-06-12T20:25:21.212Z,50447.86,50457.61,50424.57
